0,1649,2.76849e-06,3925.29,-8296.69,-7416.75
1,2339,2.51053e-06,-5281.2,-7471.6,935.43
2,949,2.7083e-06,3852.76,-8178.87,-14792
3,949,2.54735e-06,3857.12,-8232.66,-14574.1
4,2339,2.81452e-06,-5325.84,-7507.88,989.573
5,2034,2.8203e-06,-8539.35,-3539.89,-2345.69
6,1432,2.91844e-06,-9277.86,-1478.57,-9243.6
7,849,2.57131e-06,3666.98,-8219.77,-15924.2
8,2134,2.75806e-06,-8193.95,-3956.7,-1680.25
9,1749,3.37778e-06,3696.75,-8647.91,-5529.81
10,2033,3.20256e-06,-8594.3,-3068.68,-2895.07
11,1832,3.29787e-06,-8858.42,-2055.85,-5134.84
12,2440,3.36548e-06,-4771.5,-8185.89,1202.18
13,2338,2.79345e-06,-5907.69,-6938.87,783.591
14,2338,2.37573e-06,-6038.27,-6675.09,622.715
15,2245,2.78431e-06,-227.686,-9255.71,-127.871
16,2236,2.86095e-06,-7345.28,-5343.03,-224.147
17,34,2.38013e-06,-8586.25,-3408.55,-24515.6
18,348,3.08259e-06,3378.66,-8836.2,-21280.8
19,1732,2.94247e-06,-8835.72,-1894.45,-5813.12
20,2344,3.40091e-06,-1250.35,-9026.48,521.664
21,1632,2.46093e-06,-8868.33,-1743.37,-6971.81
22,2337,2.48758e-06,-6912.91,-6084.78,207.011
23,2235,3.12185e-06,-7916.68,-4643.08,-876.985
24,1649,2.75397e-06,3868.59,-8205.04,-7260.12
25,1549,2.66584e-06,3961.99,-8206.41,-8068.24
26,1150,3.05206e-06,4268.82,-8357.14,-12560.1
27,2246,2.53371e-06,767.176,-9332.75,-930.955
28,2343,2.15217e-06,-2221.48,-8876.74,728.633
29,433,2.3825e-06,-9032.05,-2485.21,-20083
30,1948,2.57718e-06,2796.92,-8581.87,-3640.66
31,2343,2.84139e-06,-1699.71,-8875.76,623.106
32,1933,2.45551e-06,-8639.71,-2859.58,-3503.47
33,2246,3.32598e-06,840.552,-9109.02,-834.473
34,133,2.64411e-06,-8589.17,-3070.62,-23418.4
35,2245,2.61505e-06,-160.469,-9131.57,-202.491
36,2342,2.15072e-06,-3154.65,-8759.47,955.111
37,2146,2.57738e-06,1255.22,-9083.06,-1380.68
38,1232,2.56486e-06,-9357.88,-1515.76,-11313.8
39,1933,3.1334e-06,-8676.84,-2587.58,-3776.85
40,632,3.35451e-06,-8813.44,-1877.49,-18205.2
41,2344,2.83342e-06,-873.575,-9107.08,254.267
42,148,3.17192e-06,2672.05,-8628.55,-23476.4
43,2343,2.90587e-06,-1521.92,-9084.15,565.318
44,2343,2.91458e-06,-1689.11,-8883.56,631.978
45,2134,2.46428e-06,-8281.85,-3863.94,-1904.18
46,1149,2.28585e-06,4022.21,-8260.53,-12376.1
47,2034,2.64207e-06,-8504.29,-3561.38,-2342.21
48,749,2.29048e-06,3577.15,-8368.02,-16733.2
49,1832,2.5276e-06,-8904.84,-2280.61,-4980.59
50,2236,3.15495e-06,-7518.73,-5133,-362.984
51,1549,2.74853e-06,4000.2,-8334.16,-7864.22
52,2147,3.36992e-06,1675.16,-8898.67,-1670.52
53,2135,3.20301e-06,-8275.28,-4446.54,-1205.53
54,2236,3.32304e-06,-7482.7,-5645.34,-47.1896
55,1231,3.01525e-06,-9526.96,-1429.81,-11269.8
56,348,3.06428e-06,3180.61,-8635.13,-21226.6
57,432,2.08079e-06,-9217.44,-2409.09,-20063.2
58,1649,3.2385e-06,3863.25,-8274.53,-6805.61
59,1632,2.05065e-06,-8989.59,-1802.26,-6741.66
60,2134,3.05003e-06,-8218.14,-4042.9,-1523.21
61,233,2.76971e-06,-8783.14,-2679.84,-22152
62,2034,2.07265e-06,-8584.4,-3373.93,-2669.24
63,1948,2.14732e-06,2949.51,-8641.51,-4108.14
64,1649,3.13338e-06,3894.84,-8606.92,-6606.14
65,1549,2.35054e-06,3867.82,-8182.58,-8137.77
66,2245,2.27049e-06,-187.872,-9104.46,-258.643
67,1549,2.88099e-06,3979.6,-8215.04,-8052.79
68,2034,2.45927e-06,-8678.67,-3365.49,-2738.66
69,1549,2.04235e-06,3899.37,-8394.66,-7790.02
