0,1705,2.26232e-06,8152.43,4468.71,-5593.46
1,2856,2.73515e-06,8179.47,-3871.26,6127.1
2,1603,2.99588e-06,8538.98,2967.13,-7045.81
3,2956,2.40979e-06,8771.03,-3652.3,6756.54
4,2804,2.05101e-06,8210.7,3708.85,6183.2
5,1500,2.5068e-06,9106.1,240.515,-8007.65
6,1502,3.0604e-06,9022.67,2128.78,-7808.02
7,1603,2.48532e-06,8705.54,2576.48,-7211.47
8,2253,3.43002e-06,6746.72,-6094.68,-211.458
9,2153,2.8878e-06,6858.87,-5922.67,-1454.46
10,1502,3.18188e-06,8964.97,1986.5,-7822.3
11,2553,3.06776e-06,7363.6,-6094.69,2501.53
12,2805,3.38353e-06,8022.15,4475.72,5735.71
13,1502,2.11264e-06,9124.91,1693.61,-7822.28
14,1756,2.81602e-06,8270.08,-3804.03,-6281.87
15,1855,2.30497e-06,7787.42,-4909.98,-4724.02
16,1705,3.27323e-06,7991.23,4551.44,-5606.46
17,1756,2.10344e-06,8272.69,-4147.95,-5932.61
18,2006,2.36635e-06,7308.28,5885.38,-2570.66
19,2754,2.9484e-06,7941.43,-5199.97,4807.31
20,2805,2.74355e-06,8149.55,4389.96,5761.87
21,3002,2.96522e-06,9072.47,2046.11,7856.61
22,1756,2.74049e-06,8287.67,-4173.04,-6040.03
23,2755,3.21501e-06,7773.23,-4675.78,5195.88
24,2453,3.24782e-06,6870.06,-6022.44,1380.3
25,1705,3.34837e-06,7975.77,4508.9,-5641.35
26,2903,2.45735e-06,8654.18,2616.21,7146.17
27,1500,3.18904e-06,9104.43,305.59,-8188.35
28,1705,2.6354e-06,8139.58,4630.36,-5522.5
29,1906,2.24817e-06,7533.18,5203.66,-4086.57
30,1501,2.2364e-06,9064.9,887.033,-7896.63
31,2805,3.05568e-06,8178.22,4747.4,5602.42
32,3059,2.52693e-06,9212.39,-606.267,8088.03
33,2805,2.28724e-06,8237.98,4405.15,5738.11
34,2705,3.00936e-06,7758.25,4673.16,5155.39
35,2353,2.4942e-06,7133.83,-6167.38,1056.81
36,3000,2.82931e-06,9098.35,217.093,8096.17
37,2453,2.14072e-06,6976.99,-5864.31,1674.58
38,1657,3.19034e-06,8537.01,-2973.04,-7076.02
39,1502,3.18501e-06,8997.8,2110.21,-7819.25
40,1704,2.20944e-06,8182.97,3849.08,-6063.59
41,2407,2.49818e-06,6923.78,5877.61,1656.22
42,2407,2.87302e-06,6853.56,5923.26,1560.27
43,1954,2.32554e-06,7346.55,-5399.36,-3482.31
44,1603,2.38189e-06,8738.55,3296.81,-6922.05
45,3001,2.7086e-06,9170.15,1306.74,8027.23
46,2654,3.07237e-06,7304.49,-5455.83,3602.86
47,1756,2.26577e-06,8179.88,-3898.08,-6006
48,2705,2.74975e-06,7879.14,4569.73,5310.37
49,2153,3.13589e-06,6841.87,-5908.44,-1638.72
50,2856,2.23012e-06,8208.24,-3704.62,6157.32
51,1705,3.2668e-06,8005.69,4610.99,-5573.86
