0,1500,2.82478e-06,9063.87,-225.766,-8106.09
1,1500,2.51976e-06,9096.98,-252.988,-8046.46
2,2207,2.33676e-06,6803.11,5927.71,-498.23
3,1906,3.14317e-06,7370.43,5266.95,-4023.9
4,2957,2.79345e-06,8628.76,-2646.02,7167.64
5,2957,2.37573e-06,8620.38,-2964.01,6922.05
6,2705,2.78431e-06,7845.91,4535.8,5242.29
7,2755,2.86095e-06,7733.98,-4679.05,5040.74
8,1657,2.38013e-06,8606.78,-2677.61,-7102.17
9,1604,3.08259e-06,8528.2,3455.26,-6854.46
10,1502,3.22228e-06,8941.07,1980.5,-7844.28
11,2153,2.94247e-06,6852.53,-6004.83,-1311.61
12,1560,2.68139e-06,9032.56,-78.8464,-8040.98
13,2904,3.40091e-06,8567.11,3785.26,6719.01
14,1603,2.64318e-06,8677.92,2617.07,-7244.79
15,2856,2.48758e-06,8216.76,-4015.05,5982.48
16,2654,3.12185e-06,7308.27,-5256.68,3921.64
17,2006,2.66584e-06,7220.51,5747.55,-2782.9
18,1806,3.05206e-06,7860.63,5117.34,-4859.42
19,1501,2.14014e-06,9180.67,1348.78,-7971.98
20,1559,2.85782e-06,9221.52,-1434.58,-8138.75
21,2855,2.13983e-06,8297.65,-4569.09,5639.22
22,2606,2.53371e-06,7414.41,5165.35,3934.47
23,1501,3.18635e-06,8975.84,1052.81,-8046.6
24,1501,2.47765e-06,9050.22,1103.4,-7917.82
25,1502,3.14233e-06,8962.18,2036.06,-7829.53
26,2903,2.15217e-06,8684.01,2590.83,7111.25
27,1656,2.3825e-06,8605.45,-3586.88,-6690.31
28,1805,3.25507e-06,7868.58,4798.72,-5244.94
29,1502,2.83106e-06,9029.71,1673.27,-7900.24
30,2307,2.57718e-06,6787.97,5937.8,576.4
31,2903,2.84139e-06,8705.24,3245.24,6986.94
32,2353,2.45551e-06,6811.56,-5949.7,750.517
33,2606,3.32598e-06,7323.06,5246.81,3969.63
34,1657,2.64411e-06,8545.13,-2852.38,-7044.77
35,1906,3.17908e-06,7395.38,5275.44,-4065.62
36,1502,2.15577e-06,9070.26,1901.81,-7758.1
37,2705,2.61505e-06,7778.78,4549.7,5093.57
38,3002,2.15072e-06,9374.51,1568.67,8020.67
39,2606,2.57738e-06,7633.8,5752.71,3432.2
40,2006,2.70318e-06,7315.54,5748.64,-2993.07
41,3059,2.6806e-06,9361.23,-1452.14,8121.99
42,2353,3.1334e-06,6719.66,-6038.63,418.165
43,1656,3.35451e-06,8501.96,-3965.48,-6643.41
44,1502,2.09374e-06,9074.35,1946.23,-7750.98
45,2804,2.83342e-06,8213.09,4037.19,6043.17
46,1603,3.17192e-06,8541.64,2876.56,-7155.36
47,2904,2.90587e-06,8679.84,3497.59,6859.79
48,2903,2.91458e-06,8713.32,3266.18,7006.98
49,2554,2.46428e-06,7285.79,-5835.82,2636.7
50,1805,2.28585e-06,7789.9,4930.38,-4738.16
51,1502,2.62143e-06,9165.54,2262.68,-7811.11
52,1704,2.29048e-06,8197.52,3999.79,-5993.46
53,1559,3.2426e-06,8969.29,-916.866,-8077.22
54,2253,2.5276e-06,6766.51,-5954.54,-546.553
55,1559,2.76691e-06,9045.29,-1201.75,-7989.54
56,2755,3.15495e-06,7823.12,-5028.08,4903.28
57,2654,3.41243e-06,7251.01,-5402.97,3731.7
58,2006,2.74853e-06,7330.58,5933.36,-2657.1
59,2654,3.20301e-06,7332.14,-5566.63,3546.84
60,2855,3.32304e-06,8199.74,-4819.86,5605.67
61,2307,3.23479e-06,7050.95,5904.18,387.603
62,1502,3.27292e-06,9191.05,1579.65,-7911.38
63,1602,2.6609e-06,8861.08,2124.88,-7303.84
64,2755,2.42454e-06,8002.89,-4332.02,4842.01
